Brand,Text,Env,Format,Comment_Date,Video_Launch,MPI,Heat,Translated,Days_Since_Launch
Oppo,Thoda hi bada hota hai 😅 fold is better,Uncontrolled,Long-form,2024-11-11 12:11:32+00:00,2024-03-13 14:51:50+00:00,0.557304859161377,-0.0792925953865051,A little is bada hota 😅 fold is better,242.88868055555557
Oppo,My father earns 8cr month but after seeing guruji I am like: mai gareeeeb hu,Uncontrolled,Long-form,2024-11-11 09:12:48+00:00,2024-03-13 14:51:50+00:00,0.5353288650512695,0.0533294528722763,My father earns 8cr month but after seeing guruji I am like: mai gareeeeb hu,242.7645601851852
Oppo,Kaun se brand ka hai yah phone bhai,Uncontrolled,Long-form,2024-11-11 04:46:14+00:00,2024-03-13 14:51:50+00:00,0.7421591877937317,0.0517962127923965,What brand is this phone brother?,242.57944444444445
Oppo,Tera sakhal dekh ke hi mera hugna band ho jata h 😂,Uncontrolled,Long-form,2024-11-10 21:54:24+00:00,2024-03-13 14:51:50+00:00,0.6399340629577637,0.9245662689208984,Seeing your face makes me feel like I have a huge band.,242.29344907407406
Oppo,Worst mobile,Uncontrolled,Long-form,2024-11-09 16:22:14+00:00,2024-03-13 14:51:50+00:00,0.5906680226325989,-0.8708437085151672,Worst mobile,241.06277777777777
Oppo,Phone ke recharge ke paise nahi hai aur yeh guru Bhai maze kar rahe hai free recharge ka video banado 😅😂😂,Uncontrolled,Long-form,2024-11-07 14:14:04+00:00,2024-03-13 14:51:50+00:00,0.7590906023979187,-0.5384570360183716,There is no money to recharge the phone and this Guru Bhai is making fun by making a video of free recharge.,238.97377314814815
Oppo,C😂,Uncontrolled,Long-form,2024-11-07 12:46:54+00:00,2024-03-13 14:51:50+00:00,0.158757671713829,0.1965193450450897,C😂,238.91324074074075
Oppo,Yaar hai mene 2017 me mobile concept ad dekha tha finnally aa gaya ❤,Uncontrolled,Long-form,2024-11-06 12:47:31+00:00,2024-03-13 14:51:50+00:00,0.6301959753036499,0.8798738121986389,"Hey guys, I finally saw the mobile concept ad in 2017 ❤",237.9136689814815
Oppo,Ye Bhai sahab hamen ghareeb sabit kar k hi many ga 😂😂😂,Uncontrolled,Long-form,2024-11-06 04:01:15+00:00,2024-03-13 14:51:50+00:00,0.588852047920227,0.67066490650177,"Ye Bhai Sahab, I have made many things in my home.",237.54820601851853
Oppo,"Please gift me a folder phone or s24

I really needed sir please your my last hope it's my birthday",Uncontrolled,Long-form,2024-11-05 18:20:47+00:00,2024-03-13 14:51:50+00:00,0.6788551807403564,0.8475736975669861,"Please gift me a folder phone or s24

I really needed sir please your my last hope it's my birthday",237.14510416666667
Oppo,We got rolllable phone before gta 6😅😅,Uncontrolled,Long-form,2024-11-05 17:08:27+00:00,2024-03-13 14:51:50+00:00,0.6159682869911194,0.1701045632362365,We got rolllable phone before gta 6😅😅,237.09487268518518
