Brand,Text,Env,Format,Comment_Date,Video_Launch,MPI,Heat,Translated,Days_Since_Launch
Samsung,Kaun se wali trophy 🌚☠️🌚☠️🌚,Uncontrolled,Long-form,2025-01-22 15:47:19+00:00,2024-06-09 16:03:20+00:00,0.5989025831222534,0.1742856800556183,Which trophy did you win?,226.98887731481483
Samsung,Yes😂,Uncontrolled,Long-form,2025-01-21 10:56:16+00:00,2024-06-09 16:03:20+00:00,0.5034469366073608,0.3790826201438904,Yes😂,225.78675925925927
Samsung,Jay Hind Jay Bharat,Uncontrolled,Long-form,2025-01-18 12:59:22+00:00,2024-06-09 16:03:20+00:00,0.1483589261770248,0.8182691931724548,Jai Hind Jai Bharat,222.87224537037036
Samsung,"Kon kon trophy nhi , kuch aur dekh RHA h 😂😂😂",Uncontrolled,Long-form,2025-01-18 05:27:37+00:00,2024-06-09 16:03:20+00:00,0.5651073455810547,-0.2053691148757934,"Who doesn't have any trophy, how much more RHA has?",222.5585300925926
Samsung,Bhai kasam se women se maje le ne gaye honge 😂😂😂😂😂,Uncontrolled,Long-form,2025-01-17 18:55:24+00:00,2024-06-09 16:03:20+00:00,0.5634047389030457,-0.7546141743659973,"Bhai Kasam, you will not get pleasure from women.",222.11949074074073
Samsung,All thanks to Praful bhaiya 😊. Bhaiya pls RCB ki bhi naiya paar laga do Aab 😢,Uncontrolled,Long-form,2025-01-17 06:30:21+00:00,2024-06-09 16:03:20+00:00,0.4346455931663513,0.7859236598014832,All thanks to Praful bhaiya 😊. Brother please add RCB's name too Aab 😢,221.6020949074074
Samsung,"""TOH YEH DEKHIYE DOSTO YE HAI T20 WORLDCUP KI TROPHY JO MEH LENA CHAHTA HU JUST KIDDING YE ME ALREADY KHAREED CHUKA HU GAREEBO MEINE APNA PAISE KAMA LIYA HAI TOH TUMHE JO UKHARDNA HAI UKHARDO.

AUR AUR AUR YE MEINE ISLIYE KHAREEDI HAI AAPKO YEH DIKHANE KE LIYE MERE PAAS BOHOT PAISE HAI GAREEBO.
YE STADIUM BHI CHAHIYE JUST KIDDING YE ALREADY MERA HAI GAREEBO.""",Uncontrolled,Long-form,2025-01-16 15:51:09+00:00,2024-06-09 16:03:20+00:00,0.5095407366752625,-0.3998120725154876,"""TOH YEH DEKHIYE FRIENDS YE HAI T20 WORLDCUP KI TROPHY JUST KIDDING YE ME ALREADY KHAREED CHUKA HU GAREEBO MEINE APNA PAISE KAMA LIYA HAI TOH TUMHE JO UKHARDNA HAI UKHARDO.

And it cost me a lot of money just to show you this.
YE STADIUM WHICH SHOULD JUST KIDDING YE ALREADY MERA HAI GAREEBO.""",220.99153935185186
Samsung,i love Hot curry,Uncontrolled,Long-form,2025-01-13 02:57:45+00:00,2024-06-09 16:03:20+00:00,0.4122214615345001,0.9489444494247437,i love Hot curry,217.45445601851853
Samsung,Technical guruji trophy 🏆 kharidlo,Uncontrolled,Long-form,2025-01-12 15:13:03+00:00,2024-06-09 16:03:20+00:00,0.4180655181407928,0.3181285560131073,Technical guruji trophy 🏆 kharidlo,216.96508101851853
Samsung,Trophy bhi sone ka 😂,Uncontrolled,Long-form,2025-01-12 07:18:47+00:00,2024-06-09 16:03:20+00:00,0.6409561038017273,0.5862903594970703,The trophy should also be gold.,216.63572916666666
Samsung,Apni trophy🏆,Uncontrolled,Long-form,2025-01-08 14:09:35+00:00,2024-06-09 16:03:20+00:00,0.1991171240806579,0.6066982746124268,Apni trophy🏆,212.92100694444446
Samsung,Iss trophy ko bhi mana kharid kiya h dosto,Uncontrolled,Long-form,2025-01-06 08:50:51+00:00,2024-06-09 16:03:20+00:00,0.6052746772766113,0.4995551407337188,"I have also bought this trophy, friends.",210.69966435185185
Samsung,Deeak deeak Salle ke paas Kitna paisa hamko laghta hai ki Ambani uska @#** Ka mail hoga 😂😂,Uncontrolled,Long-form,2025-01-04 07:19:43+00:00,2024-06-09 16:03:20+00:00,0.5280783772468567,-0.4855543971061706,"Deepak Deepak, how much money do we lose after seeing that Ambani will mail his @#** ?",208.6363773148148
Samsung,Aise hi bolte raho,Uncontrolled,Long-form,2025-01-02 08:30:13+00:00,2024-06-09 16:03:20+00:00,0.5408003330230713,0.0074564032256603,How are you speaking?,206.68533564814814
Samsung,Ho gyi apni 😂,Uncontrolled,Long-form,2024-12-26 02:01:16+00:00,2024-06-09 16:03:20+00:00,0.017519287765026,-0.0288562029600143,Ho gyi apni 😂,199.41523148148147
Samsung,"Trophy apni hai Dosto  ❌️ 
Trophy apni hai Gareebo  ✅️",Uncontrolled,Long-form,2024-12-24 16:53:53+00:00,2024-06-09 16:03:20+00:00,0.4118540287017822,0.5805542469024658,"Trophy is yours friends❌️ 
Trophy apni hai gareebo ✅️",198.03510416666666
Samsung,Khwab acha dekhte ho lekin hakikat me Australia ki trophy hai ye,Uncontrolled,Long-form,2024-12-24 14:02:06+00:00,2024-06-09 16:03:20+00:00,0.6592921018600464,0.2296666651964187,You may be dreaming but in reality this is Australia's trophy.,197.9158101851852
Samsung,App champions trophy me vi jaw India jit jyegi 😂,Uncontrolled,Long-form,2024-12-14 12:15:20+00:00,2024-06-09 16:03:20+00:00,0.3947932124137878,0.0334542542695999,App champions trophy me vi jaw India jit jyegi ।,187.84166666666667
Samsung,"Trophy apni hi hai ❎
Trophy apni ho gayi ✅
😂😂😂",Uncontrolled,Long-form,2024-12-13 15:54:03+00:00,2024-06-09 16:03:20+00:00,0.5469842553138733,0.5319730639457703,"Trophy is yours ❎
Have you won the trophy?
🤣🤣🤣",186.99355324074074
Samsung,Won by india ❌ purchase by india ✅,Uncontrolled,Long-form,2024-12-11 12:41:48+00:00,2024-06-09 16:03:20+00:00,0.4557777345180511,0.6517634987831116,Won by india ❌ purchase by india ✅,184.8600462962963
Samsung,Kya aap 50 aeroplane khareed sakte hain technical guruji😅😅😅,Uncontrolled,Long-form,2024-12-05 10:21:45+00:00,2024-06-09 16:03:20+00:00,0.6360678672790527,0.1659839749336242,Can you buy 50 airplanes? Technical Guruji😅😅😅,178.76278935185186
Samsung,Guruji ise v kharid liye the😂,Uncontrolled,Long-form,2024-11-27 10:15:27+00:00,2024-06-09 16:03:20+00:00,0.5006169080734253,0.076566644012928,Guruji he bought it.,170.75841435185185
Samsung,"Guruji be like: to guys mein yah trophy bhi kharid ne wala hun just kidding may ye trophy pahle khareed chuka hun hato garibon😂😂😂😂.                            


Congratulations India won",Uncontrolled,Long-form,2024-11-24 15:39:23+00:00,2024-06-09 16:03:20+00:00,0.608050525188446,0.1021192520856857,"Guruji be like: I have not even bought this trophy among guys, I am just kidding, I have bought this trophy before, I am a poor person.                            


Congratulations India won",167.98336805555556
Samsung,Ab to apne hi ha,Uncontrolled,Long-form,2024-11-24 13:07:12+00:00,2024-06-09 16:03:20+00:00,0.1262335181236267,-0.0575698018074035,Ab to apne hi ha,167.8776851851852
Samsung,🎉🎉🎉❤❤❤,Uncontrolled,Long-form,2024-11-24 11:15:19+00:00,2024-06-09 16:03:20+00:00,0.0802784189581871,0.9828630089759828,🎉🎉🎉❤❤❤,167.79998842592593
