Brand,Text,Env,Format,Comment_Date,Video_Launch,MPI,Heat,Translated,Days_Since_Launch
Xiaomi,Just... itne mein Acha ghr aa Jatan h😅,Uncontrolled,Long-form,2026-01-24 18:42:45+00:00,2024-04-13 11:12:57+00:00,0.4732313156127929,0.7700009942054749,"Just… in this moment, I will see you again.",651.3123611111112
Xiaomi,मेरा संस्क्राइब करवा दो,Uncontrolled,Long-form,2026-01-24 15:46:44+00:00,2024-04-13 11:12:57+00:00,0.3017889559268951,0.3162640929222107,get me subscribed,651.1901273148148
Xiaomi,Hello bhaiya ji 🙏,Uncontrolled,Long-form,2026-01-24 15:45:53+00:00,2024-04-13 11:12:57+00:00,0.2132156938314438,0.8943817019462585,Hello brother ji 🙏,651.189537037037
Xiaomi,Saale technical itna mahanga har kisi ke paas itne paise nahi hote hai 😢,Uncontrolled,Long-form,2026-01-23 14:58:03+00:00,2024-04-13 11:12:57+00:00,0.4801022708415985,-0.673659086227417,"Because of such technicality, no one has that much money.",650.1563194444444
Xiaomi,Koi Ghada hi hoga Jo Ye Tatti Kharide 1 cr me😂😂😂,Uncontrolled,Long-form,2026-01-23 10:06:51+00:00,2024-04-13 11:12:57+00:00,0.5857375264167786,-0.1344669610261917,Who will buy this tit in 1 cr?,649.9540972222222
Xiaomi,😂😂😂😂😂😂😂😂😂😂😂😂👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾,Uncontrolled,Long-form,2026-01-23 06:21:19+00:00,2024-04-13 11:12:57+00:00,0.0,0.0,😂😂😂😂😂😂😂😂😂😂😂😂👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾,649.7974768518518
Xiaomi,Gariboooooooo,Uncontrolled,Long-form,2026-01-21 16:26:24+00:00,2024-04-13 11:12:57+00:00,0.0,0.1546670198440551,Gariboooooooo,648.2176736111111
Xiaomi,ek baar phir is bande ne gaand sulga di just rupee 1 carore 15 lakh sala main to carore ki spelling bhi sahi se nhi likh pa raha hu,Uncontrolled,Long-form,2026-01-19 15:10:43+00:00,2024-04-13 11:12:57+00:00,0.5365021228790283,-0.8841125965118408,"Once again this guy has burnt his ass and spent just Rs 1 crore in 15 lakh rupees. Mainly, the spelling of two crores is not written correctly.",646.1651157407407
Xiaomi,Justtttttt 😂😂,Uncontrolled,Long-form,2026-01-19 11:21:58+00:00,2024-04-13 11:12:57+00:00,0.0,0.1375149190425872,Justtttttt 😂😂,646.0062615740741
Xiaomi,Bahut sasta  h itna me ek remote bhi nhi aata,Uncontrolled,Long-form,2026-01-19 07:25:31+00:00,2024-04-13 11:12:57+00:00,0.539877712726593,-0.5527567863464355,It's so cheap it doesn't even come with a remote,645.8420601851852
Xiaomi,Advertisement × Gaand Faad Dia ✓,Uncontrolled,Long-form,2026-01-19 03:24:49+00:00,2024-04-13 11:12:57+00:00,0.0609873719513416,0.0540414676070213,Advertisement × Gand Faad Dia ✓,645.6749074074074
Xiaomi,1 crore me to ghr mil jayega,Uncontrolled,Long-form,2026-01-18 05:04:32+00:00,2024-04-13 11:12:57+00:00,0.6317395567893982,0.0747196525335311,1 crore will be available in Rs.,644.7441550925926
